!Freq (Hz)		    E (eV)		      nuFnu (erg cm-2 s-1)	-dnuFnu (erg cm-2 s-1)	  +dnuFnu (erg cm-2 s-1)   Observatoire
9.1461280356782382       -5.2372830619743418       -13.478639593506509       -13.495610702813719       -13.462306805632609      NVSS           
9.6857417386022640       -4.6976693590503160       -12.961896689694102       -12.981430558234427       -12.943203735857969      PMN            
10.453318340047037       -3.9300927576055420       -12.723975007761421       -12.793927374087515       -12.663742450270192      PCSS1F         
11.000000000000000       -3.3834110976525795       -12.382035630776484       -12.432078897335826       -12.337167589365631      PCSS1F         
11.155336037465062       -3.2280750601875177       -12.285712162594864       -12.320967509483078       -12.253105146947295      PCSS1F         
11.336459733848530       -3.0469513638040500       -12.260554244338067       -12.303681187666317       -12.221325739815821      PCSS1F         
11.547774705387823       -2.8356363922647567       -11.904481957676849       -11.977938851536294       -11.841670684444850      PCSS1F         
8.9258275746247424       -5.4575835230278376       -13.412165609645333       -13.426569052433262       -13.398224564759980      SUMSS          
10.361727836017593       -4.0216832616349869       -12.793174123968150       -12.860120913598763       -12.735182176990463      WMAP5          
10.518513939877888       -3.8648971577746920       -12.782516055786093       -12.879426068794150       -12.703334809738468      WMAP5          
13.945320840792276      -0.43809025686030456       -10.680768981839728       -10.687767196245009       -10.673881750534040      WISE           
13.814047720995600      -0.56936337665698011       -10.963411023244596       -10.970410082836732       -10.956522973348868      WISE           
13.397592434038117      -0.98581866361446280       -11.543694711605919       -11.552375197912234       -11.535184332549830      WISE           
13.134495855834674       -1.2489152418179059       -11.599772948956099       -11.630246247627966       -11.571298400376946      WISE           
13.945320840792276      -0.43809025686030456       -10.677966871368197       -10.684965128780489       -10.671079598408792      WISE           
13.814047720995600      -0.56936337665698011       -10.958607314841775       -10.965756684277343       -10.951573734991678      WISE           
13.397592434038117      -0.98581866361446280       -11.552485373200737       -11.561165688313332       -11.543975158694364      WISE           
13.133858125203334       -1.2495529724492449       -11.644165504115064       -11.676498329591936       -11.614073931775538      WISE           
15.286456469746982       0.90304537209440339       -11.244925898241528       -11.280688604822130       -11.211885388506280      GALEX          
17.383815365980432        3.0004042683278520       -11.427186462440545       -11.455440860231819       -11.400658496770562      ROSAT          
17.383456296524752        3.0000451988721735       -11.180396846520821       -11.200276337463624       -11.161387632789211      SWXRT          
17.383456296524752        3.0000451988721735       -11.168232575211967       -11.181747706308112       -11.155125368886507      SWXRT          
17.073718350346123        2.6903072526935432       -11.035226687844633       -11.056636088859177       -11.010352658867038      SWXRT          
17.073718350346123        2.6903072526935432       -10.913213204373376       -10.927174978822288       -10.899686330502957      SWXRT          
18.033825693953311        3.6504145963007306       -11.373649365737286       -11.417975293291301       -11.333431479493674      SWXRT          
18.033825693953311        3.6504145963007306       -11.768683357090499       -11.803370682276300       -11.736562782032291      SWXRT          
16.883434293683010        2.5000231960304298       -11.087177681907125       -11.110038671070376       -11.065460141256624      TWOXMMIDR3     
16.883434293683010        2.5000231960304298       -11.037152587947816       -11.043896430291525       -11.030511866564778      TWOXMMIDR3     
17.232996110392154        2.8495850127395741       -11.276568957839878       -11.292619762822060       -11.261090281890517      TWOXMMIDR3     
17.232996110392154        2.8495850127395741       -11.195492561899023       -11.200094890150519       -11.190938494694171      TWOXMMIDR3      
17.534026106056135        3.1506150084035554       -11.344563810448177       -11.358781782166510       -11.330796590202219      TWOXMMIDR3     
17.534026106056135        3.1506150084035554       -11.314249306964649       -11.318595299614156       -11.309946374196107      TWOXMMIDR3     
16.883434293683010        2.5000231960304298       -11.097931806118224       -11.109795903136456       -11.086383213719131      TWOXMMIDR3     
16.883434293683010        2.5000231960304298       -11.030756534924089       -11.035909688058965       -11.025663810585302      TWOXMMIDR3     
17.232996110392154        2.8495850127395741       -11.224243962155901       -11.233677888267469       -11.215010614399707      TWOXMMIDR3     
17.232996110392154        2.8495850127395741       -11.161793384791512       -11.165921907277788       -11.157703739881693      TWOXMMIDR3     
17.534026106056135        3.1506150084035554       -11.285636705296108       -11.296840220145709       -11.274112858685827      TWOXMMIDR3      
17.534026106056135        3.1506150084035554       -11.223015672799189       -11.227874797290806       -11.218210313849678      TWOXMMIDR3     
17.860577551244415        3.4771664535918361       -11.497531910770510       -11.522930863745337       -11.473536656195400      TWOXMMIDR3      
17.860577551244415        3.4771664535918361       -11.470762194730339       -11.478483773848062       -11.463175507318102      TWOXMMIDR3     
18.249687427805302        3.8662763301527221       -11.517569508431821       -11.580211065834709       -11.462834726797610      TWOXMMIDR3     
18.249687427805302        3.8662763301527221       -11.434529992991809       -11.451964550153207       -11.417768408985554      TWOXMMIDR3     
17.860577551244415        3.4771664535918361       -11.351025579962034       -11.370661769704112       -11.332238947435654      TWOXMMIDR3     
17.860577551244415        3.4771664535918361       -11.330655221326843       -11.339597795192143       -11.321893075381542      TWOXMMIDR3     
18.249687427805302        3.8662763301527221       -11.379426746258707       -11.420042720324725       -11.342286507423555      TWOXMMIDR3     
18.249687427805302        3.8662763301527221       -11.374656676120390       -11.393501477182168       -11.356595690819800      TWOXMMIDR3     
18.073718350346123        3.6903072526935432       -11.167529409085800       -11.286215546576928       -11.074414626240012      XMMSL1D5       
17.184407485412319        2.8009963877597404       -11.458358361903192       -11.530281049178299       -11.396669386394013      XMMSL1D5       
17.184407485412319        2.8009963877597404       -11.635861921337398       -11.760652963850786       -11.539040548901525      XMMSL1D5       
17.573567773039219        3.1901566753866391       -11.521909902409710       -11.662612627883547       -11.412428211066707      XMMSL1D5       
17.573567773039219        3.1901566753866391       -11.594312213327223       -11.713471677751400       -11.500907042623668      XMMSL1D5       
22.684845361644413        8.3014342639918333       -11.464971855967525       -11.464971855967525       -11.464971855967525      Fermi1FGL      
23.684845361644413        9.3014342639918333       -11.643247737852443       -11.643247737852443       -11.643247737852443      Fermi1FGL      
23.161966616364076        8.7785555187114959       -11.467984932622464       -11.467984932622464       -11.467984932622464      Fermi1FGL      
25.161966616364076        10.778555518711496       -11.297061360611654       -11.297061360611654       -11.297061360611654      Fermi1FGL      
24.161966616364076        9.7785555187114959       -11.702064493640354       -11.945084499950520       -11.547169750814941      Fermi1FGL      
22.684845361644413        8.3014342639918333       -11.352568125602698       -11.352568125602698       -11.352568125602698      Fermi2FGL      
23.684845361644413        9.3014342639918333       -11.645987654332780       -11.741087480004989       -11.568017405178344      Fermi2FGL      
23.161966616364076        8.7785555187114959       -11.598978770791334       -11.699130723029114       -11.517649599095307      Fermi2FGL      
25.161966616364076        10.778555518711496       -11.613465364909521       -11.816915304901329       -11.475467573665957      Fermi2FGL      
