!E(eV)		F(ergcm-2s-1)	Emin            Emax      	delta F(-)	delta F(+)	Observatory
1.2747E+00	6.9512E-12	1.2731E+00	1.2764E+00	3.5266E-13	3.5266E-13	X-Shooter
1.2780E+00	6.9977E-12	1.2764E+00	1.2797E+00	3.5334E-13	3.5334E-13	X-Shooter
1.2813E+00	6.9301E-12	1.2797E+00	1.2830E+00	3.4891E-13	3.4891E-13	X-Shooter
1.2846E+00	6.9789E-12	1.2830E+00	1.2863E+00	3.5070E-13	3.5070E-13	X-Shooter
1.2880E+00	6.7436E-12	1.2863E+00	1.2896E+00	3.3964E-13	3.3964E-13	X-Shooter
1.2913E+00	6.9313E-12	1.2896E+00	1.2930E+00	3.5337E-13	3.5337E-13	X-Shooter
1.2947E+00	7.0468E-12	1.2930E+00	1.2964E+00	3.5609E-13	3.5609E-13	X-Shooter
1.2981E+00	7.1070E-12	1.2964E+00	1.2998E+00	3.5851E-13	3.5851E-13	X-Shooter
1.3015E+00	6.9098E-12	1.2998E+00	1.3032E+00	3.5107E-13	3.5107E-13	X-Shooter
1.3049E+00	6.8474E-12	1.3032E+00	1.3066E+00	3.4778E-13	3.4778E-13	X-Shooter
1.3084E+00	6.7287E-12	1.3066E+00	1.3101E+00	3.4925E-13	3.4925E-13	X-Shooter
1.3118E+00	6.8539E-12	1.3101E+00	1.3136E+00	3.4831E-13	3.4831E-13	X-Shooter
1.3153E+00	6.7680E-12	1.3136E+00	1.3170E+00	3.4276E-13	3.4276E-13	X-Shooter
1.3188E+00	6.7736E-12	1.3170E+00	1.3205E+00	3.4247E-13	3.4247E-13	X-Shooter
1.3223E+00	6.9801E-12	1.3205E+00	1.3241E+00	3.9168E-13	3.9168E-13	X-Shooter
1.3258E+00	6.8918E-12	1.3241E+00	1.3276E+00	3.6333E-13	3.6333E-13	X-Shooter
1.3294E+00	7.0770E-12	1.3276E+00	1.3312E+00	3.6769E-13	3.6769E-13	X-Shooter
1.3330E+00	6.7597E-12	1.3312E+00	1.3348E+00	3.4020E-13	3.4020E-13	X-Shooter
1.3366E+00	6.7642E-12	1.3348E+00	1.3384E+00	3.4072E-13	3.4072E-13	X-Shooter
1.3402E+00	6.9325E-12	1.3384E+00	1.3420E+00	3.4830E-13	3.4830E-13	X-Shooter
1.3438E+00	6.8549E-12	1.3420E+00	1.3456E+00	3.4715E-13	3.4715E-13	X-Shooter
1.3475E+00	7.0914E-12	1.3456E+00	1.3493E+00	3.5625E-13	3.5625E-13	X-Shooter
1.3511E+00	6.7231E-12	1.3493E+00	1.3530E+00	3.3933E-13	3.3933E-13	X-Shooter
1.3548E+00	6.7957E-12	1.3530E+00	1.3567E+00	3.4198E-13	3.4198E-13	X-Shooter
1.3585E+00	6.8215E-12	1.3567E+00	1.3604E+00	3.4426E-13	3.4426E-13	X-Shooter
1.3623E+00	6.8133E-12	1.3604E+00	1.3641E+00	3.4396E-13	3.4396E-13	X-Shooter
1.3660E+00	6.9113E-12	1.3641E+00	1.3679E+00	3.4803E-13	3.4803E-13	X-Shooter
